Importance,Feature
0.06370783672014645,LIMIT_BAL
0.060289013186134575,AGE
0.05653406620810526,BILL_AMT1
0.051737726360045616,PAY_AMT1
0.05159693150310306,BILL_AMT2
0.049644428002254486,PAY_AMT2
0.04925966634827667,BILL_AMT3
0.04745722208281032,BILL_AMT4
0.04730636997139779,PAY_0_2
0.046837874772486264,BILL_AMT5
0.04660115925650171,BILL_AMT6
0.04418884647250364,PAY_AMT3
0.04395305232654605,PAY_AMT6
0.043144058865040046,PAY_AMT4
0.0418968490907355,PAY_AMT5
0.02657806242170745,PAY_2_2.0
0.02239591556824082,PAY_0_0
0.019117050305683943,PAY_3_2.0
0.014167610278929143,PAY_4_2.0
0.010904390383799898,PAY_5_2.0
0.010766634139811599,PAY_6_2.0
0.009652695930849838,EDUCATION_2.0
0.008922299849636738,MARRIAGE_1.0
0.008891965285660958,EDUCATION_1.0
0.008797139142200401,MARRIAGE_2.0
0.008539146214885095,SEX_1.0
0.008494588495298033,SEX_2.0
0.007629924657480296,PAY_2_0.0
0.0074665829931891275,EDUCATION_3.0
0.006290280233786685,PAY_0_1
0.005822772145981786,PAY_0_-1
0.005135747851935041,PAY_6_0.0
0.005127363154090088,PAY_3_0.0
0.005104067897489289,PAY_2_-1.0
0.00488472370665906,PAY_4_0.0
0.004562966515409724,PAY_3_-1.0
0.00454624384984329,PAY_5_0.0
0.0044270026554334005,PAY_6_-1.0
0.0041362304250552595,PAY_4_-1.0
0.00411282712219595,PAY_5_-1.0
0.0036107812045235417,PAY_0_-2
0.0029442201471595706,PAY_6_-2.0
0.002508096901615526,PAY_3_-2.0
0.0024267873486588233,PAY_5_-2.0
0.002297785286145991,PAY_4_-2.0
0.002219182982448309,PAY_2_-2.0
0.0021785150267064363,PAY_0_3
0.0016739115816712146,PAY_2_3.0
0.0015324046539846971,MARRIAGE_3.0
0.0013226840051904381,EDUCATION_5.0
0.0007583167285329167,PAY_3_3.0
0.0007369108841342371,PAY_6_3.0
0.0007235800108851217,PAY_4_3.0
0.0006283128283900272,PAY_5_3.0
0.0003766284735082256,MARRIAGE_0.0
0.0003520661254244944,EDUCATION_6.0
0.0003433678279894292,EDUCATION_4.0
0.000312821651130327,PAY_0_4
0.00030192472033131366,PAY_2_4.0
0.00026231446749547374,PAY_3_4.0
0.00023011753083038652,PAY_5_4.0
0.00021227481707978464,PAY_4_4.0
0.00013675845090302275,PAY_6_4.0
0.0001131799461540911,PAY_4_5.0
0.0001074092935855021,PAY_2_1.0
0.00010300511147803365,PAY_0_5
9.743391433782095e-05,PAY_4_7.0
9.586517907303321e-05,PAY_5_7.0
9.4288402683773e-05,PAY_3_5.0
9.084871206414157e-05,PAY_6_6.0
8.367454140002835e-05,PAY_2_5.0
5.616185455776729e-05,PAY_5_5.0
5.5856942357468855e-05,PAY_3_6.0
5.270974138105562e-05,PAY_2_7.0
5.2619472404654077e-05,PAY_6_7.0
5.1066038265775736e-05,PAY_0_8
3.605809690638526e-05,PAY_0_6
3.1314011303669994e-05,PAY_2_6.0
3.1148346642228106e-05,PAY_6_5.0
3.0003220835390912e-05,PAY_3_7.0
1.8354736929199227e-05,EDUCATION_0.0
1.694975291767773e-05,PAY_0_7
1.6229615396768504e-05,PAY_4_6.0
1.3396149778522611e-05,PAY_3_1.0
9.598242487693249e-06,PAY_2_8.0
7.982705017936368e-06,PAY_3_8.0
5.609925908285405e-06,PAY_4_8.0
4.8088161927457616e-06,PAY_5_6.0
4.6737590888084725e-06,PAY_4_1.0
3.3465026039775723e-07,PAY_6_8.0
3.2277451163308336e-07,PAY_5_8.0
